file	copyright	license modified by
game/gfx/box_bl.png	unknown	unknown	-
game/gfx/box_bm.png	unknown	unknown	-
game/gfx/box_br.png	unknown	unknown	-
game/gfx/box_ml.png	unknown	unknown	-
game/gfx/box_mm.png	unknown	unknown	-
game/gfx/box_mm2.png	unknown	unknown	-
game/gfx/box_mr.png	unknown	unknown	-
game/gfx/box_tl.png	unknown	unknown	-
game/gfx/box_tm.png	unknown	unknown	-
game/gfx/box_tr.png	unknown	unknown	-
game/gfx/complete.png	unknown	unknown	-
game/gfx/conback.png	unknown	unknown	-
game/gfx/conchars-cyr.lmp	unknown	unknown	-
game/gfx/cursor.lmp	unknown	unknown	-
game/gfx/cursor.png	unknown	unknown	-
game/gfx/inter.png	unknown	unknown	-
game/gfx/loading.png	unknown	unknown	-
game/gfx/mainmenu.lmp	unknown	unknown	-
game/gfx/mainmenu.png	unknown	unknown	-
game/gfx/mcharset.png	unknown	unknown	-
game/gfx/menudot1.png	unknown	unknown	-
game/gfx/menudot2.png	unknown	unknown	-
game/gfx/menudot3.png	unknown	unknown	-
game/gfx/menudot4.png	unknown	unknown	-
game/gfx/menudot5.png	unknown	unknown	-
game/gfx/menudot6.png	unknown	unknown	-
game/gfx/pause.png	unknown	unknown	-
game/gfx/p_multi.png	unknown	unknown	-
game/gfx/qplaque.png	unknown	unknown	-
game/gfx/ranking.png	unknown	unknown	-
game/gfx/sp_menu.png	unknown	unknown	-
game/gfx/ttl_main.png	unknown	unknown	-
game/gfx/ttl_sgl.png	unknown	unknown	-
game/gfx/vidmodes.png	unknown	unknown	-
game/levelshots.pk3	unknown	unknown	-
game/locs.pk3	unknown	unknown	-
game/progs/flame0.mdl	unknown	unknown	-
game/radars/aerowalk.png	unknown	unknown	-
game/radars/dm2.png	unknown	unknown	-
game/radars/dm3.png	unknown	unknown	-
game/radars/e1m2.png	unknown	unknown	-
game/skins/player_base.png	unknown	unknown	-
game/skins/player_blue.png	unknown	unknown	-
game/skins/player_cyan.png	unknown	unknown	-
game/skins/player_green.png	unknown	unknown	-
game/skins/player_orange.png	unknown	unknown	-
game/skins/player_pink.png	unknown	unknown	-
game/skins/player_purple.png	unknown	unknown	-
game/skins/player_red.png	unknown	unknown	-
game/skins/player_white.png	unknown	unknown	-
game/skins/player_yellow.png	unknown	unknown	-
game/textures/charsets/moondid2.png	unknown	unknown	-
